TIME_PERIOD#es,TIME_PERIOD_CODE,UNIVERSIDADES#es,UNIVERSIDADES_CODE,SEXO#es,SEXO_CODE,PROCEDIMIENTO_ACCESO#es,PROCEDIMIENTO_ACCESO_CODE,CONVOCATORIA#es,CONVOCATORIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,120,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,60,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Aprobados,APROBADOS,60,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,645,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,345,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,300,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,473,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,259,,,,
2016,2016,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,214,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,393,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,219,,,,
2017,2017,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,174,,,,
